,asset_class,counterparty,instrument_id,instrument_name,trade_date_time,trade_date_time_2,price,buySellIndicator,trader,quantity,trade_id
0,Drama,Nolan-Mueller,099615128-1,BNFT,2021-11-30 04:32:00,4:32,608.56,BUY,Sandie France,3995,3995
1,Comedy Romance,Huels Group,272775721-2,HE,2021-12-20 17:41:00,17:41,627.05,BUY,Devonna Wife,3631,3631
2,Comedy Drama,"Wuckert, Paucek and Rutherford",505685229-5,DWSN,2022-06-14 07:04:00,7:04,529.24,BUY,Germaine Kuhnel,5868,5868
3,Comedy Drama,Bernier LLC,228619495-5,MRNS,2022-01-18 22:47:00,22:47,774.96,BUY,Florencia Halifax,5023,5023
4,Documentary,Corwin-Stanton,729734362-5,RMP,2021-11-25 11:47:00,11:47,240.84,BUY,Caspar Kaasman,2293,2293
5,Comedy,Kulas Group,862261291-0,NMK^B,2022-03-10 10:11:00,10:11,852.75,SELL,Osbourn Coursor,3629,3629
6,Adventure Comedy,"Halvorson, Legros and Mertz",469273282-2,LEXEA,2021-10-11 15:38:00,15:38,431.66,BUY,Xylia Spencook,3702,3702
7,Action Sci-Fi,"Stamm, Fritsch and Prohaska",362534002-X,BHACU,2022-02-28 15:39:00,15:39,404.0,BUY,Vasili Phoenix,2514,2514
8,Drama,Funk-Boyle,806301325-5,ARDM,2022-05-22 12:46:00,12:46,709.05,SELL,Mal McGunley,1884,1884
9,Adventure Romance,"Kunze, Cartwright and Spinka",526078949-0,UTL,2022-03-31 17:35:00,17:35,214.08,SELL,Niko Aleksandrikin,4652,4652
10,Drama,Vandervort-Goldner,473417566-7,FNSR,2022-05-26 15:49:00,15:49,826.02,SELL,Tybi Attoe,300,300
11,Horror Mystery Thriller,"Harber, Braun and Predovic",942699414-9,MBTF,2022-06-22 17:21:00,17:21,636.38,SELL,Myrvyn Udie,1782,1782
12,Film-Noir Horror Thriller,"Pouros, Stamm and Beer",248158672-7,AVNW,2022-05-19 20:13:00,20:13,844.08,SELL,Margret Gouck,3980,3980
13,Drama,Wehner Inc,991091557-X,HRL,2021-08-09 11:55:00,11:55,665.01,SELL,Felizio Glasspool,2536,2536
14,Horror Thriller,"Deckow, Cronin and Fay",325624680-X,EAT,2022-04-19 04:40:00,4:40,925.37,SELL,Jessey Amburgy,641,641
15,Drama Horror Thriller,"Gerlach, Nader and Cruickshank",298381569-2,NEO,2022-01-22 11:44:00,11:44,806.32,SELL,Alysa Atkyns,3030,3030
16,Comedy,"Kerluke, McClure and Weimann",857651752-3,PCSB,2022-05-30 11:55:00,11:55,412.74,SELL,Joby Bryns,3555,3555
17,Action Comedy Drama,Kris Inc,807205331-0,ACH,2022-04-07 22:01:00,22:01,371.65,BUY,Rockie Fores,202,202
18,Adventure Drama Sci-Fi,"Nader, Hagenes and Nikolaus",791303139-5,OPTT,2021-12-18 09:49:00,9:49,173.79,BUY,Donielle Luce,1463,1463
19,Comedy Western,Schneider-McClure,820180151-2,ATNX,2021-08-11 00:47:00,0:47,376.23,SELL,Hyacinthe Walenta,116,116
20,Adventure Romance Sci-Fi,"Hayes, Bartoletti and Schneider",144661863-3,INF,2021-08-03 09:31:00,9:31,421.82,SELL,Minda Ing,2157,2157
21,Drama Romance,"Corwin, Ledner and Schmeler",726031403-6,ANFI,2021-09-22 14:32:00,14:32,932.32,BUY,Kimbell Furber,2177,2177
22,Western,Champlin Inc,524521602-7,TWO,2022-05-15 12:57:00,12:57,92.95,BUY,Pavia Billham,1440,1440
23,Action,Altenwerth Inc,441962642-9,FNHC,2022-01-12 11:01:00,11:01,38.63,SELL,Erena Ciccottio,5671,5671
24,Crime Drama,D'Amore-Gibson,745579753-2,CLNS^B,2022-03-09 21:33:00,21:33,21.09,SELL,Marta Warman,871,871
25,Documentary,Muller-Auer,348727590-2,VBLT,2021-07-05 01:06:00,1:06,294.13,SELL,Maurie Meaking,4129,4129
26,Drama,Schulist Inc,541539166-5,RFEM,2021-11-30 09:56:00,9:56,663.16,BUY,Ginger Alderson,5865,5865
27,Documentary,Batz-Wyman,829780811-4,ECYT,2021-12-26 05:31:00,5:31,669.85,SELL,Vinny Brewse,2815,2815
28,Comedy Drama,Rau Inc,826407687-4,UBNT,2022-03-18 20:31:00,20:31,153.49,SELL,Dennis Summerfield,3685,3685
29,Action Sci-Fi,Howell Group,385027675-9,TANNI,2022-05-27 12:53:00,12:53,609.23,SELL,Giulietta Sevior,504,504
30,Comedy Musical,"Renner, Okuneva and Russel",013165284-2,USB^O,2021-11-30 07:30:00,7:30,267.65,BUY,Ranice Ghiotto,2843,2843
31,Adventure Drama Romance,Rogahn and Sons,047074052-3,DELT,2021-07-16 19:18:00,19:18,356.8,SELL,Gallard Ashall,4055,4055
32,Adventure Horror Sci-Fi,"Deckow, Stroman and Weimann",662854598-9,LYTS,2022-02-04 11:14:00,11:14,439.3,SELL,Boyce De Gregorio,2620,2620
33,Drama Sci-Fi,Rosenbaum-Harber,167994277-8,CUBI^C,2021-09-01 08:07:00,8:07,640.28,BUY,Lorin Brabbins,5184,5184
34,Crime Drama Film-Noir Thriller,"Wehner, Gerlach and Halvorson",029323323-3,NAII,2022-01-24 11:20:00,11:20,260.05,SELL,Giralda Mountain,3175,3175
35,Drama,"Donnelly, Gulgowski and Hyatt",005085268-X,PJC,2022-02-19 02:17:00,2:17,189.63,BUY,Becca Wiggington,2701,2701
36,Drama War,Bechtelar LLC,238372801-2,IDRA,2022-06-21 10:25:00,10:25,454.8,SELL,Harp Jakubovits,5968,5968
37,Romance Sci-Fi,"Hilll, Blick and Nikolaus",239552827-7,JPM^B,2022-03-05 15:32:00,15:32,140.78,SELL,Dara Gladstone,5484,5484
38,Drama,"Jones, Schumm and Hand",763360732-7,VTWV,2021-11-22 00:49:00,0:49,142.79,SELL,Baxy Redemile,2047,2047
39,Thriller,Price-Hermann,768639286-4,LDP,2021-08-08 00:01:00,0:01,508.66,BUY,Enrichetta Plascott,1883,1883
40,Action Crime,Daugherty and Sons,792362231-0,PCYO,2021-07-05 14:07:00,14:07,301.39,SELL,Sauveur Glencrosche,5397,5397
41,Documentary,"McGlynn, Christiansen and Marks",496777599-3,UTF,2021-11-13 19:21:00,19:21,568.26,SELL,Cherice Hastie,113,113
