asset_class,counterparty,instrument_id,instrument_name,trade_date_time,trade_date_time_2,price,buySellIndicator,trader
Drama,Nolan-Mueller,099615128-1,BNFT,2021-11-30,4:32,608.56,true,Sandie France
Comedy|Romance,Huels Group,272775721-2,HE,2021-12-20,17:41,627.05,true,Devonna Wife
Comedy|Drama,"Wuckert, Paucek and Rutherford",505685229-5,DWSN,2022-06-14,7:04,529.24,true,Germaine Kuhnel
Comedy|Drama,Bernier LLC,228619495-5,MRNS,2022-01-18,22:47,774.96,true,Florencia Halifax
Documentary,Corwin-Stanton,729734362-5,RMP,2021-11-25,11:47,240.84,true,Caspar Kaasman
Comedy,Kulas Group,862261291-0,NMK^B,2022-03-10,10:11,852.75,false,Osbourn Coursor
Adventure|Comedy,"Halvorson, Legros and Mertz",469273282-2,LEXEA,2021-10-11,15:38,431.66,true,Xylia Spencook
Action|Sci-Fi,"Stamm, Fritsch and Prohaska",362534002-X,BHACU,2022-02-28,15:39,404.0,true,Vasili Phoenix
Drama,Funk-Boyle,806301325-5,ARDM,2022-05-22,12:46,709.05,false,Mal McGunley
Adventure|Romance,"Kunze, Cartwright and Spinka",526078949-0,UTL,2022-03-31,17:35,214.08,false,Niko Aleksandrikin
Drama,Vandervort-Goldner,473417566-7,FNSR,2022-05-26,15:49,826.02,false,Tybi Attoe
Horror|Mystery|Thriller,"Harber, Braun and Predovic",942699414-9,MBTF,2022-06-22,17:21,636.38,false,Myrvyn Udie
Film-Noir|Horror|Thriller,"Pouros, Stamm and Beer",248158672-7,AVNW,2022-05-19,20:13,844.08,false,Margret Gouck
Drama,Wehner Inc,991091557-X,HRL,2021-08-09,11:55,665.01,false,Felizio Glasspool
Horror|Thriller,"Deckow, Cronin and Fay",325624680-X,EAT,2022-04-19,4:40,925.37,false,Jessey Amburgy
Drama|Horror|Thriller,"Gerlach, Nader and Cruickshank",298381569-2,NEO,2022-01-22,11:44,806.32,false,Alysa Atkyns
Comedy,"Kerluke, McClure and Weimann",857651752-3,PCSB,2022-05-30,11:55,412.74,false,Joby Bryns
Action|Comedy|Drama,Kris Inc,807205331-0,ACH,2022-04-07,22:01,371.65,true,Rockie Fores
Adventure|Drama|Sci-Fi,"Nader, Hagenes and Nikolaus",791303139-5,OPTT,2021-12-18,9:49,173.79,true,Donielle Luce
Comedy|Western,Schneider-McClure,820180151-2,ATNX,2021-08-11,0:47,376.23,false,Hyacinthe Walenta
Adventure|Romance|Sci-Fi,"Hayes, Bartoletti and Schneider",144661863-3,INF,2021-08-03,9:31,421.82,false,Minda Ing
Drama|Romance,"Corwin, Ledner and Schmeler",726031403-6,ANFI,2021-09-22,14:32,932.32,true,Kimbell Furber
Western,Champlin Inc,524521602-7,TWO,2022-05-15,12:57,92.95,true,Pavia Billham
Action,Altenwerth Inc,441962642-9,FNHC,2022-01-12,11:01,38.63,false,Erena Ciccottio
Crime|Drama,D'Amore-Gibson,745579753-2,CLNS^B,2022-03-09,21:33,21.09,false,Marta Warman
Documentary,Muller-Auer,348727590-2,VBLT,2021-07-05,1:06,294.13,false,Maurie Meaking
Drama,Schulist Inc,541539166-5,RFEM,2021-11-30,9:56,663.16,true,Ginger Alderson
Documentary,Batz-Wyman,829780811-4,ECYT,2021-12-26,5:31,669.85,false,Vinny Brewse
Comedy|Drama,Rau Inc,826407687-4,UBNT,2022-03-18,20:31,153.49,false,Dennis Summerfield
Action|Sci-Fi,Howell Group,385027675-9,TANNI,2022-05-27,12:53,609.23,false,Giulietta Sevior
Comedy|Musical,"Renner, Okuneva and Russel",013165284-2,USB^O,2021-11-30,7:30,267.65,true,Ranice Ghiotto
